level_code,level_text,subject_code,subject_name,subject_nick,subject_color,comptetence_code,competence_title,competence_text,cycle_code,cycle_name,cycle_ladder,cycle_optional
D.1.B.1.h,"können fehlende Informationen (z.B. bei einem Vortrag, Fernsehsendung) selbstständig erkennen, erfragen oder mit geeigneten Hilfsmitteln erschliessen.
können ein gezieltes Hörverständnis verschiedener Hörtexte aufbauen, um das Wichtigste zusammenzufassen (z.B. Bericht, Vortrag, Theaterstück).
",D,Deutsch,Deutsch,#fccdcc,D.1.B.1,Deutsch.Hören.Verstehen in monologischen Hörsituationen,Die Schülerinnen und Schüler können wichtige Informationen aus Hörtexten entnehmen.,3bo,9. Klasse,6,1
D.1.C.1.a,"können in einer vertrauten Gesprächssituation dem Gesprochenen folgen und ihre Beteiligung zeigen.
",D,Deutsch,Deutsch,#fccdcc,D.1.C.1,Deutsch.Hören.Verstehen in dialogischen Hörsituationen,Die Schülerinnen und Schüler können Gesprächen folgen und ihre Aufmerksamkeit zeigen.,1,Kindergarten - 2. Klasse,12,0
D.1.C.1.b,"können Gesprächen folgen und dabei ihre Aufmerksamkeit nonverbal (z.B. Mimik, Körpersprache), paraverbal (z.B. Intonation) und verbal (Worte) zeigen.
können sich wichtige Inhalte aus einem Gespräch merken.
können an einem Gespräch teilnehmen und die entsprechenden Gesprächsregeln meist einhalten (z.B. zuhören, ausreden lassen).
",D,Deutsch,Deutsch,#fccdcc,D.1.C.1,Deutsch.Hören.Verstehen in dialogischen Hörsituationen,Die Schülerinnen und Schüler können Gesprächen folgen und ihre Aufmerksamkeit zeigen.,1,Kindergarten - 2. Klasse,12,0
D.1.C.1.c,"können in vertrauten Kommunikationssituationen Stimmungen wahrnehmen (z.B. emotionale Verletzung, Betroffenheit, Wut, Ärger, Freude).
können Gesprächsbeiträgen folgen und sich für sie Bedeutsames merken.
können nachfragen, wenn sie etwas in einem Gespräch nicht verstanden haben.
",D,Deutsch,Deutsch,#fccdcc,D.1.C.1,Deutsch.Hören.Verstehen in dialogischen Hörsituationen,Die Schülerinnen und Schüler können Gesprächen folgen und ihre Aufmerksamkeit zeigen.,"1,2a",Kindergarten - 4. Klasse,123,0
D.1.C.1.d,"können ihre Aufmerksamkeit in einem längeren Gespräch aufrecht erhalten und sich passend einbringen.
können längere Gespräche so verstehen, dass sie deren Inhalt wiedergeben können.
",D,Deutsch,Deutsch,#fccdcc,D.1.C.1,Deutsch.Hören.Verstehen in dialogischen Hörsituationen,Die Schülerinnen und Schüler können Gesprächen folgen und ihre Aufmerksamkeit zeigen.,2a,3. - 4. Klasse,3,0
D.1.C.1.e,"können verschiedenen, längeren Gesprächen folgen und dabei ihre aktive Beteiligung nonverbal, paraverbal und verbal zeigen (aktives Zuhören).
können vertraute Kommunikationssituationen, die Absichten der Sprechenden und die emotionale Wirkung von Gehörtem einschätzen.
können im Gespräch gezielt nachfragen, wenn sie etwas genauer wissen möchten. Sie können damit ihren Wortschatz erweitern.
können an einem Gespräch teilnehmen und die entsprechenden Gesprächsregeln meist einhalten (z.B. zuhören, ausreden lassen).
",D,Deutsch,Deutsch,#fccdcc,D.1.C.1,Deutsch.Hören.Verstehen in dialogischen Hörsituationen,Die Schülerinnen und Schüler können Gesprächen folgen und ihre Aufmerksamkeit zeigen.,2b,5. - 6. Klasse,4,0
D.1.C.1.f,"können in Aushandlungs- oder Konfliktsituationen das Gesprächsverhalten der anderen einschätzen und angemessen reagieren.
",D,Deutsch,Deutsch,#fccdcc,D.1.C.1,Deutsch.Hören.Verstehen in dialogischen Hörsituationen,Die Schülerinnen und Schüler können Gesprächen folgen und ihre Aufmerksamkeit zeigen.,"2b,3a",5. - 8. Klasse,45,0
D.1.C.1.g,"können in Diskussionen und Debatten das Gesprächsverhalten und die darin liegende Strategie der anderen einschätzen, um mit eigenen Beiträgen angemessen reagieren zu können.
können im Gespräch gezielt nachfragen, um eine Begründung einzufordern.
können sich in einem Gespräch mit unbekannten Erwachsenen (in einem Vorstellungsgespräch, Schnupperlehre) auf die Person und die Situation einstellen.
",D,Deutsch,Deutsch,#fccdcc,D.1.C.1,Deutsch.Hören.Verstehen in dialogischen Hörsituationen,Die Schülerinnen und Schüler können Gesprächen folgen und ihre Aufmerksamkeit zeigen.,3a,7. - 8. Klasse,5,0
D.1.C.1.h,"können in Konfliktsituationen die eigenen und die Emotionen der anderen wahrnehmen und im Gespräch thematisieren.
können verschiedene Gesprächsbeiträge so zusammenfassen, dass die wesentlichen Elemente des ganzen Gesprächs deutlicher werden.
können nonverbale und paraverbale Signale im Gespräch bewusst einsetzen, um die eigene Absicht durchzusetzen.
",D,Deutsch,Deutsch,#fccdcc,D.1.C.1,Deutsch.Hören.Verstehen in dialogischen Hörsituationen,Die Schülerinnen und Schüler können Gesprächen folgen und ihre Aufmerksamkeit zeigen.,3bo,9. Klasse,6,1
D.1.D.1.a,"können sich unter Anleitung und mithilfe konkreter Fragen mit anderen über Erzähltes austauschen.
können sich mithilfe konkreter Fragen über ein Gespräch und ihr Gesprächsverhalten austauschen.
",D,Deutsch,Deutsch,#fccdcc,D.1.D.1,Deutsch.Hören.Reflexion über das Hörverhalten,Die Schülerinnen und Schüler können ihr Hörverhalten und ihr Hörinteresse reflektieren.,1,Kindergarten - 2. Klasse,12,0
D.1.D.1.b,"können sich Störfaktoren einer Gesprächssituation bewusst machen und sie beim Zuhören berücksichtigen (z.B. Lärmpegel, undeutliche Aussprache).
",D,Deutsch,Deutsch,#fccdcc,D.1.D.1,Deutsch.Hören.Reflexion über das Hörverhalten,Die Schülerinnen und Schüler können ihr Hörverhalten und ihr Hörinteresse reflektieren.,2a,3. - 4. Klasse,3,0
D.1.D.1.c,"können mithilfe von Leitfragen beschreiben, welche Hörstrategien sie beim Zuhören anwenden, um das Gehörte zu verstehen (z.B. einen Hörtext in Portionen abspielen, Fragen vor dem Zuhören lesen).
können sich unter Anleitung darüber austauschen, welche Wirkung ein Gesprächsbeitrag auf sie hat.
",D,Deutsch,Deutsch,#fccdcc,D.1.D.1,Deutsch.Hören.Reflexion über das Hörverhalten,Die Schülerinnen und Schüler können ihr Hörverhalten und ihr Hörinteresse reflektieren.,2b,5. - 6. Klasse,4,0
D.1.D.1.d,"können mithilfe von Leitfragen das eigene Verständnis und den Aussagegehalt des Gesagten beurteilen.
können mithilfe von Leitfragen beschreiben, wo sie beim Zuhören Probleme hatten und wie sie ihre Hörstrategien anpassen könnten (z.B. Notizen machen).
können mit Unterstützung beschreiben, was ihnen das Zuhören erleichtert (z.B. sich in Bezug auf Thema, Person, Gesprächssituation vorbereiten, nachfragen).
können unter Anleitung das eigene Hör- bzw. Gesprächsverhalten reflektieren, um daraus fürs nächste Gespräch Schlussfolgerungen zu ziehen.
",D,Deutsch,Deutsch,#fccdcc,D.1.D.1,Deutsch.Hören.Reflexion über das Hörverhalten,Die Schülerinnen und Schüler können ihr Hörverhalten und ihr Hörinteresse reflektieren.,3a,7. - 8. Klasse,5,0
D.1.D.1.e,"können darüber nachdenken, wie sie einen Hörtext, Film oder Redebeitrag verstanden haben und welche Informationen für ihr Ziel besonders relevant sind.
können ihr Verständnis eines Redebeitrags mit Bezug auf das Gehörte begründen.
können über die unterschiedliche Aussagekraft von vorgebrachten Argumenten nachdenken.
",D,Deutsch,Deutsch,#fccdcc,D.1.D.1,Deutsch.Hören.Reflexion über das Hörverhalten,Die Schülerinnen und Schüler können ihr Hörverhalten und ihr Hörinteresse reflektieren.,3bo,9. Klasse,6,1
D.2.A.1.a,"können Piktogramme und einfache Wortbilder aus ihrem Alltagsleben wieder erkennen (z.B. Migros, Coop, Volg, Coca Cola).
können einzelne Buchstaben wiedererkennen (z.B. aus dem eigenen Namen).
können einen Zugang zu (Bilder-)Büchern finden.
",D,Deutsch,Deutsch,#fccdcc,D.2.A.1,Deutsch.Lesen.Grundfertigkeiten,"Die Schülerinnen und Schüler verfügen über Grundfertigkeiten des Lesens. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gelesene schnell zu verstehen.",1,Kindergarten - 2. Klasse,12,0
D.2.A.1.b,"können die passende Beziehung zwischen Buchstaben und Lauten herstellen sowie Buchstaben zu Silben und kurzen Wörtern aus dem schulnahen Wortschatz verbinden.
können kurze Sätze langsam erlesen.
",D,Deutsch,Deutsch,#fccdcc,D.2.A.1,Deutsch.Lesen.Grundfertigkeiten,"Die Schülerinnen und Schüler verfügen über Grundfertigkeiten des Lesens. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gelesene schnell zu verstehen.",1,Kindergarten - 2. Klasse,12,0
D.2.A.1.c,"erkennen vertraute Wörter auf einen Blick (Sichtwortschatz).
können kurze Texte, deren Thema vertraut ist, laut oder still lesen.
",D,Deutsch,Deutsch,#fccdcc,D.2.A.1,Deutsch.Lesen.Grundfertigkeiten,"Die Schülerinnen und Schüler verfügen über Grundfertigkeiten des Lesens. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gelesene schnell zu verstehen.",1,Kindergarten - 2. Klasse,12,0
D.2.A.1.d,"erkennen häufig wiederkehrende Morpheme auf einen Blick (z.B. ver-, vor-, nach- als Vormorpheme, bekannte Stamm-Morpheme).
",D,Deutsch,Deutsch,#fccdcc,D.2.A.1,Deutsch.Lesen.Grundfertigkeiten,"Die Schülerinnen und Schüler verfügen über Grundfertigkeiten des Lesens. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gelesene schnell zu verstehen.","1,2a",Kindergarten - 4. Klasse,123,0
D.2.A.1.e,"können eine inhaltliche und grammatische Leseerwartung aufbauen.
",D,Deutsch,Deutsch,#fccdcc,D.2.A.1,Deutsch.Lesen.Grundfertigkeiten,"Die Schülerinnen und Schüler verfügen über Grundfertigkeiten des Lesens. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gelesene schnell zu verstehen.",2a,3. - 4. Klasse,3,0
D.2.A.1.f,"können einen längeren geübten Text flüssig vorlesen.
können Wörter bzw. Wortbilder, die ihnen vertraut sind, schnell erkennen (rezeptiver Wortschatz aktivieren).
",D,Deutsch,Deutsch,#fccdcc,D.2.A.1,Deutsch.Lesen.Grundfertigkeiten,"Die Schülerinnen und Schüler verfügen über Grundfertigkeiten des Lesens. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gelesene schnell zu verstehen.",2b,5. - 6. Klasse,4,0
D.2.A.1.g,"verfügen über ein Lesetempo, das dem Textverstehen dient.
",D,Deutsch,Deutsch,#fccdcc,D.2.A.1,Deutsch.Lesen.Grundfertigkeiten,"Die Schülerinnen und Schüler verfügen über Grundfertigkeiten des Lesens. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gelesene schnell zu verstehen.","2b,3a",5. - 8. Klasse,45,0
D.2.A.1.h,"können einen geübten Text flüssig, mit angemessener Intonation und verständlich vorlesen.
können Wörter und Wendungen in unterschiedlichen Texten verstehen, sie Sprachregistern zuordnen (z.B. Fachsprache) und so ihren rezeptiven Wortschatz differenzieren.
",D,Deutsch,Deutsch,#fccdcc,D.2.A.1,Deutsch.Lesen.Grundfertigkeiten,"Die Schülerinnen und Schüler verfügen über Grundfertigkeiten des Lesens. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gelesene schnell zu verstehen.",3a,7. - 8. Klasse,5,0
D.2.B.1.a,"können einfache Sachverhalte in Bildern und Aufträge in Bildform verstehen.
können einfache Piktogramme aus ihrem Alltagsleben lesen und verstehen.
können erzählen, was sie durch Medien erfahren haben (z.B. Kindersendung, Film, Lernspiel).
",D,Deutsch,Deutsch,#fccdcc,D.2.B.1,Deutsch.Lesen.Verstehen von Sachtexten,Die Schülerinnen und Schüler können wichtige Informationen aus Sachtexten entnehmen.,1,Kindergarten - 2. Klasse,12,0
D.2.B.1.b,"können kurze Sätze zu einem Sachthema mit Bild-Unterstützung oder unter Anleitung verstehen.
können wichtige Wörter zum behandelten Thema lesen und verstehen.
",D,Deutsch,Deutsch,#fccdcc,D.2.B.1,Deutsch.Lesen.Verstehen von Sachtexten,Die Schülerinnen und Schüler können wichtige Informationen aus Sachtexten entnehmen.,1,Kindergarten - 2. Klasse,12,0
D.2.B.1.c,"können Abbildungen und Text bei bebilderten Sachtexten zueinander in Beziehung setzen.
können die nötige Ausdauer aufbringen, um übersichtlich strukturierte Sachtexte zu Themen, die sie interessieren, zu lesen.
können mithilfe von gezielten Fragen einen einfachen Sachtext als Ganzes verstehen und wichtige Informationen entnehmen.
",D,Deutsch,Deutsch,#fccdcc,D.2.B.1,Deutsch.Lesen.Verstehen von Sachtexten,Die Schülerinnen und Schüler können wichtige Informationen aus Sachtexten entnehmen.,1,Kindergarten - 2. Klasse,12,0
D.2.B.1.d,"können unter Anleitung die Bibliothek als Ort zur Lektüre- und Informationsbeschaffung nutzen.
können aus kurzen, mit Titel und Absätzen übersichtlich strukturierten und illustrierten Sachtexten wesentliche Informationen entnehmen.
",D,Deutsch,Deutsch,#fccdcc,D.2.B.1,Deutsch.Lesen.Verstehen von Sachtexten,Die Schülerinnen und Schüler können wichtige Informationen aus Sachtexten entnehmen.,"1,2a",Kindergarten - 4. Klasse,123,0
D.2.B.1.e,"können übersichtliche Sachtexte mit Fotos und Abbildungen überblicken.
können das eigene Vorwissen aktivieren und mithilfe von eigenen oder vorgegebenen Fragen eine Leseerwartung aufbauen.
können Abbildungen zum Verstehen des Textes nutzen.
können in kurzen Sachtexten mit Unterstützung Wesentliches markieren und Unklarheiten kennzeichnen.
",D,Deutsch,Deutsch,#fccdcc,D.2.B.1,Deutsch.Lesen.Verstehen von Sachtexten,Die Schülerinnen und Schüler können wichtige Informationen aus Sachtexten entnehmen.,2a,3. - 4. Klasse,3,0
D.2.B.1.f,"können die Struktur eines Textes erkennen und explizite Informationen entnehmen.
können einen übersichtlich strukturierten, kürzeren Text als Ganzes verstehen, auch wenn sie einzelne Wörter nicht verstehen.
können mithilfe von zielgerichteten Fragen naheliegende implizite Informationen erschliessen und Abbildungen und Text zueinander in Bezug setzen.
können die Bedeutung von unbekannten Wörtern aus dem Kontext erschliessen, erfragen oder mit geeigneten Hilfsmitteln (z.B. Wörterbuch, Sachbuch, Internet) nachschlagen und damit ihren rezeptiven Wortschatz erweitern.
",D,Deutsch,Deutsch,#fccdcc,D.2.B.1,Deutsch.Lesen.Verstehen von Sachtexten,Die Schülerinnen und Schüler können wichtige Informationen aus Sachtexten entnehmen.,2b,5. - 6. Klasse,4,0
D.2.B.1.g,"können unter Anleitung Informationen aus übersichtlichen Grafiken, Diagrammen und Tabellen entnehmen.
können Sachtexte im Rahmen einer Recherche beschaffen (z.B. im Internet, in der Bibliothek) und die darin enthaltenen Informationen mithilfe von Leitfragen für weitere Arbeiten nutzen (z.B. Referat).
können Informationen aus unterschiedlichen Sachtexten unter Anleitung verarbeiten (z.B. Stichwortliste, Mindmap, Zeitstrahl).
",D,Deutsch,Deutsch,#fccdcc,D.2.B.1,Deutsch.Lesen.Verstehen von Sachtexten,Die Schülerinnen und Schüler können wichtige Informationen aus Sachtexten entnehmen.,"2b,3a",5. - 8. Klasse,45,0
D.2.B.1.h,"können wesentliche Informationen aus diskontinuierlichen Sachtexten für den eigenen Wissensaufbau entnehmen, indem sie auch Zusammenhänge zwischen Text und Abbildungen herstellen (z.B. Artikel aus Internet, Anleitung).
können einen übersichtlich strukturierten Text als Ganzes verstehen sowie zentrale Elemente erkennen und mit der eigenen Lebenswelt in Verbindung bringen (z.B. Artikel aus Jugendzeitschrift).
können mit Unterstützung längere diskontinuierliche Sachtexte überblicken und sich im Text orientieren.
können mit Unterstützung die Bedeutung von unbekannten Wörtern aus dem Kontext oder mit geeigneten Hilfsmitteln (z.B. Wörterbuch, Sachbuch, Internet) erschliessen und differenzieren damit ihren rezeptiven Wortschatz aus.
können Informationen aus unterschiedlichen Sachtexten verarbeiten (z.B. Stichwortliste weiterführen, Mindmap ergänzen, Zeitstrahl bezeichnen).
können das Angebot einer Bibliothek nutzen und bei Bedarf Unterstützung selbstständig anfordern (z.B. für die Berufsfindung).
",D,Deutsch,Deutsch,#fccdcc,D.2.B.1,Deutsch.Lesen.Verstehen von Sachtexten,Die Schülerinnen und Schüler können wichtige Informationen aus Sachtexten entnehmen.,3a,7. - 8. Klasse,5,0
D.2.B.1.i,"können sich eine eigene Meinung zu Aussagen und Wertvorstellungen aus Texten bilden und diese präsentieren.
können Sachtexte aus dem Internet auf ihre Vertrauenswürdigkeit kritisch hinterfragen.
",D,Deutsch,Deutsch,#fccdcc,D.2.B.1,Deutsch.Lesen.Verstehen von Sachtexten,Die Schülerinnen und Schüler können wichtige Informationen aus Sachtexten entnehmen.,3bo,9. Klasse,6,1
D.2.C.1.a,"können in einem Bild eine Situation erkennen (z.B. Figur, Handlung, mögliche Geschichte).
können sich aus aneinander gereihten Bildern eine Geschichte vorstellen und diese im Gespräch erzählen (z.B. Bilderbuch).
",D,Deutsch,Deutsch,#fccdcc,D.2.C.1,Deutsch.Lesen.Verstehen literarischer Texte,Die Schülerinnen und Schüler können literarische Texte lesen und verstehen.,1,Kindergarten - 2. Klasse,12,0
D.2.C.1.b,"können erzählte und vorgelesene Texte verstehen und darin den Handlungsstrang erkennen (z.B. kleine Geschichte, Bilderbuch, Vers, Abzählreim).
können einen linearen Erzählverlauf mit einer dazu gehörenden Bildabfolge verbinden.
",D,Deutsch,Deutsch,#fccdcc,D.2.C.1,Deutsch.Lesen.Verstehen literarischer Texte,Die Schülerinnen und Schüler können literarische Texte lesen und verstehen.,1,Kindergarten - 2. Klasse,12,0
D.2.C.1.c,"können mithilfe von Nachfragen in Texten Handlungen und typische Eigenschaften der Figuren verstehen.
können sich unter Anleitung zentrale Handlungen, Orte und Figuren in kurzen Geschichten bildlich vorstellen und mit der eigenen Lebenswelt in Verbindung bringen.
können ihren rezeptiven Wortschatz erweitern, indem sie ihre Aufmerksamkeit unter Anleitung auf bestimmte Wörter und Wendungen richten.
kennen die Bibliothek als Ort mit reichhaltigem Leseangebot und können unter Anleitung Hörbücher, Bücher und andere Medien auswählen.
",D,Deutsch,Deutsch,#fccdcc,D.2.C.1,Deutsch.Lesen.Verstehen literarischer Texte,Die Schülerinnen und Schüler können literarische Texte lesen und verstehen.,1,Kindergarten - 2. Klasse,12,0
D.2.C.1.d,"können ihr Textverständnis zeigen, indem sie einen Text gestaltend vorlesen (z.B. einzelne Figuren stimmlich unterscheiden).
",D,Deutsch,Deutsch,#fccdcc,D.2.C.1,Deutsch.Lesen.Verstehen literarischer Texte,Die Schülerinnen und Schüler können literarische Texte lesen und verstehen.,"1,2a",Kindergarten - 4. Klasse,123,0
D.2.C.1.e,"können mit Unterstützung aufgrund von Cover, Klappentext, Illustrationen und Textausschnitten, (Hör-)Bücher und andere Medien auswählen.
können mit Unterstützung (z.B. Vorlesen, Hinweise durch Lehrperson, Hörbuch) Stimmungen, die ein Text vermittelt, wahrnehmen (z.B. Spannung in einem Krimi).
",D,Deutsch,Deutsch,#fccdcc,D.2.C.1,Deutsch.Lesen.Verstehen literarischer Texte,Die Schülerinnen und Schüler können literarische Texte lesen und verstehen.,2a,3. - 4. Klasse,3,0
